,Name,ID,RAM,Processor,Model,Brand,Screen Size,Connectivity,OS,Camera,Storage,Price
8190,Samsung Galaxy S10 5G G977U 512GB AT&T Unlocked (AT&T/T-mobile/Verizon) Good,204526010570,8 GB,,Samsung Galaxy S10 5G,Samsung,6.7 in,,Android,16.0 MP,256 GB,219.99
8191,Motorola Moto E (2020) - 32GB - Midnight Blue (T-Mobile) Airplane Mode Locked,155150756734,2 GB,Octa Core,Motorola Moto E (2020),Motorola,6.2 in,"Bluetooth, 4G, Wi-Fi, Micro USB, GPS",Android,"13.0 MP, 2.0 MP",32 GB,30.00
8192,LG X Power LS755 16GB Virgin Mobile Locked Black Used,166233635048,2 GB,,LG X Power1,LG,5.3 in,"Bluetooth, Wi-Fi",Android,8.0 MP,16 GB,24.99
8194,Samsung Highlight SGH-T749 - Ice ( T-Mobile ) Rare Cellular Phone - Great Shape,325486266339,,,SGH T749,Samsung,,,,3.0 MP,60 MB,26.34
8195,"LG G6 (Latest 5.7"") H872 32GB 13MP 4G T-Mobile Smartphone Good Black Platinum",184037506091,4GB,Qualcomm Snapdragon 821   MSM8996,LG G6,LG,5.7 in,4G,Android,1.3 MP,32 GB,94.88
8196,2023 Factory Unlocked Android Cheap Cell Phone Smartphone Dual SIM USA T-mobile,266515520756,2 GB,Quad Core,XGODY,XGODY,5.5 in 6.0 in,"2G, 3G, 4G, Bluetooth, GPRS, GPS, Headphone Jack, LTE, Micro USB, Quad-Band, USB Type-C, WAP, Wi-Fi",Android,5.0MP,"16GB(Support up to 16 32 64 128 256GB ,TF card not included)",58.88 to 70.88
8198,Samsung Flip Phone SGH-T109 T- Mobile phone. PARTS ONLY,204365234358,,,SGT-T109,Samsung,,Micro USB,Android,,30 MB,9.99
8200,SHARP SH-01J AQUOS Mobile Phone docomo Android Flip Phone Gold Unlocked Japan,304862452200,other,other,AQUOS SH-01J,Sharp,other,"3G, 4G",Android,2.0 MP,other,240.87
8201,Samsung SGH-R225 / R225M - Blue &Silver ( T-Mobile ) Rare Phone - Untested READ,325554481848,,,R225,Samsung,,,,,NA,5.09
8202,Apple iPhone 11 - 64GB - red (Boost Mobile),404201631944,,Hexa Core,Apple iPhone 11,Apple,6.1 in,"Bluetooth, 4G, Wi-Fi, Lightning, NFC",iOS,12.0 MP,64 GB,450.00
8204,Sony Ericsson K310i (Unlocked) Mobile Phone Excellent Condition With Charger,266222745309,250MB,Single Core,Sony Ericsson K310i,Sony Ericsson,1.5 in,"2G, Bluetooth, Dual-Band, Tri-Band",Sony Ericsson OS,1.3 MP,280 MB,37.83
8206,Samsung Galaxy Note10 (6.3-inch) (SM-N970U) T-Mobile Only - Aura Glow/256GB,166343689036,,,Samsung Galaxy Note10,Samsung,6.3 in,,Android,,256 GB,230.99
8207,Samsung Galaxy S10 G973U 128GB AT&T Verizon T-Mobile Sprint Unlocked Smartphone,384983467000,8 GB,2.8 GHz Qualcomm Snapdragon 855,Samsung Galaxy S10,Samsung,6.1 in,"2G, 3G, 4G, Bluetooth, GPS, NFC, USB Type-C, Wi-Fi",Android,16.0 MP,128 GB,147.25 to 175.75
8209,MOTOROLA C261 GSM 2G ONLY MOBILE WIRELESS CELL PHONE POCKET SLIM BLACK CELLULAR,183392340982,,,C261,Motorola,,2G,,,unknown,37.22
8210,"New Listing4.5"" DOOGEE MINI 4G LTE Rugged Phone Android Outdoor Mobile Dual Screen 8+256GB",235313149311,8GB+7GB Extended,Octa Core,Smini,DOOGEE,4.5 in,"2G, 3G, 4G, Bluetooth, GPS, LTE, NFC, Wi-Fi",Android 13.0,50.0 MP,256 GB,235.67
8211,Original Nokia E72 3G network WIFI GPS Unlocked Mobile Phone 2.4 in 5MP Camera,194110213406,128M,,Nokia E72,Nokia,"2.4""",,Symbian,5MP,&lt;2GB,65.79
8212,READ 1ST Motorola Cham Brown MB502 (T-Mobile) Fast Shipping MINT Test Phone TS2,164842177936,,,Motorola CHARM,Motorola,,,,,20 MB,32.88
8213,"Original Nokia 130 (RM-1037) Mobile Phone GOOD CONDITION Big Buttons, Torch",256187584015,,,130 (RM-1037),Nokia,1.8 in   128 x 160 pixels,2G,,,4 MB,30.00
8214,Nokia 6500 classic 6500c  Phone Vintage GSM Mobile Phone Unlocked Working,304559061884,,,Nokia 6500 classic,Nokia,,Micro USB,,2.0 MP,1 GB,39.00
8217,T-Mobile H345 Leon | Broken Screen working,275165137847,1 GB,1.2 GHz Qualcomm Snapdragon 410,LG Leon,LG,4.5 in,"VoLTE, 4G, Bluetooth, LTE",Android,5.0 MP,8 GB,18.88
8218,Nokia 7230 3G Mobile Phone 3.15MP FM JAVA MP3 Player Bluetooth Original Unlocked,173447619062,&lt;128MB,,Nokia 7230,Nokia,,,Symbian,3.15MP,45 MB,35.19 to 46.19
8219,LG X Charge - LGSP320 - 16GB - (Boost Mobile Unlocked) - OPEN BOX,185443311405,,,LGSP320,LG,,,,,16GB,74.99
8221,Samsung Dart SGH-T499 Slate T-Mobile Android Smartphone For Parts Not Working,145341179430,,,Samsung Dart SGH-T499,Samsung,"2.7in, 2in",,Android,"0.3MP, 3MP",Unknown,8.46
8222,Sony Ericsson C903 3G GSM 105MB 5 MP GPS Bluetooth unlocked mobile phone ,374029766590,,,Sony Ericsson C903,Sony Ericsson,,Micro USB,,5.0 MP,100 MB,51.00
8223,Nokia Classic 2330c-2b / 2330 - Black and Silver ( T-Mobile ) Cellular Phone,324435659876,,,2330 c - 2b,Nokia,,,,,32 MB,16.99
8225,Virgin Mobile LG3300 Cell Phone Sealed,324355948218,,,LG 3300,LG,,,Android,,I don’t Know,51.46
8227,Samsung Galaxy Z Flip4 - SM-F721U - 256GB - Pink Gold (T-Mobile - ULK)  (a10456),285514314129,,,Galaxy Z Flip4,Samsung,,,Android13,,256GB,372.30
8228,"LG K7 K330 8GB Black, (AS-IS/For Parts) - Read Details",204542343082,1 GB,Quad Core,LG K7,LG,5 in,"Bluetooth, 4G, Wi-Fi, USB, GPS",Android,8.0 MP,8 GB,17.88
8229,Boost Mobile ZTE MAX N9520 8GB 4G LTE Silver - No Power,325669321189,1 GB,Quad Core,ZTE Boost Max,ZTE,5.7 in,Bluetooth,Android,8.0 MP,8 GB,9.99
8230,VINTAGE 1990's Nokia Model 100 Mobile Cell Phone THA-9,325696923251,???,Single Core,100,Nokia,???,2G,None,None,None,38.00
8232,Kyocera Luno S2100 - Black and Gray ( Virgin Mobile ) Rare Flip Phone - Bundled,325663102527,,,Luno,Kyocera,1.8 in,,,,70 MB,21.24
8233,Motorola i series i570 - Gray ( Boost Mobile ) Very Rare iDEN Flip Phone,325152876283,,,Motorola i570,Motorola,,,,,NA,33.14
8234,Samsung Galaxy Note 10 SM-N970U 256GB Smartphone AT&T T-Mobile Verizon Open Box,314725309247,8 GB,Octa Core,Samsung Galaxy Note10,Samsung,6.3 in,"2G, 3G, 4G, Bluetooth, GPS, NFC, USB Type-C, Wi-Fi",Android,16.0 MP,256 GB,213.51
8236,Sony Xperia Tipo ST21i Original Android Mobile Phone GPS WIFI 3.15MP Camera 3G,234028317898,512MB,,Sony Xperia Tipo ST21i,Sony Ericsson,"3.2""",,Android,3.15MP,2GB,64.12
8237,Samsung - Galaxy A10e (Boost mobile) SM-A102U ,224223071882,,,Samsung Galaxy A10e,Samsung,,,Android,,32 GB,89.00
8239,Oppo Reno 3 (5G) 8G/128GB Android Mobile Phone (Preowned),155700922065,8 GB,,Reno 3,OPPO,,5G,Android,,128 GB,280.95
8240,LG 101 / VM101 - Black and Silver ( Virgin Mobile ) Rare Cellular Phone,325696830483,,,VM101,LG,,,,,NA,11.04
8241,Samsung Galaxy Note 10 N970 256G AT&T T-Mobile Sprint Verizon Unlocked Open Box,124879806581,8 GB,Octa Core,Samsung Galaxy Note10,Samsung,6.3 in,"2G, 3G, 4G, Bluetooth, GPS, NFC, USB Type-C, Wi-Fi",Android,16.0MP,256 GB,213.75
8242,Unlocked OUKITEL WP27 4G Rugged Mobile Android Phone Waterproof Dual SIM 12+256G,235274347656,12 GB,Octa Core,WP27,OUKITEL,6.8 in,"2G, 3G, 4G, LTE, GPS, NFC",Android 13,64MP+20MP+2MP,256 GB,242.77
8243,Apple iPhone 7 Plus - 128GB - Black (T-Mobile) A1784,303906565876,,Quad Core,Apple iPhone 7 Plus,Apple,5.5 in,"Bluetooth, Wi-Fi, NFC",iOS,12.0 MP,128 GB,190.00
8246,Samsung Galaxy A12 SM-A125U 32GB Black AT&T T-Mobile GSM Unlocked Smartphone A++,385008418424,3 GB,Octa Core,Samsung Galaxy A12,Samsung,6.5 in,"2G, 3G, 4G, Bluetooth, GPS, USB Type-C, Wi-Fi",Android,"5.0 MP, 16.0 MP, 2.0 MP",32 GB,104.49
8249,"Brand New Sealed Nokia 1661 Cellphone, Will Work With Walmart Family Mobile ONLY",163699438365,unknown,not  applicable,N1661,Nokia,1.9 in,2G,not applicable,Not Applicable,8 MB,29.73
8252,Samsung SCH-U350 Verizon Flip Mobile Cell Phone - Blue,165739795260,,,SCH-U350,Samsung,,,,,128 MB,14.99
8255,Original NOKIA 6600 Bluetooth Camera Unlocked GSM Triband Mobile Phone White,314317325631,<1GB,,Nokia 6600,Nokia,"2.2""","2G, Tri-Band",Symbian,,<2GB,47.00
8256,Alcatel 7 6062W 32GB Metro PCS T-Mobile Android 4G LTE Smartphone,404479450103,2 GB,Octa Core,6062W,Alcatel,6 in,"3G, 4G, Bluetooth, GPS",Android,12.0 MP,32GB,44.99
8257,Apple iPhone 11 - 64GB - Green (T-Mobile) A2111 (CDMA + GSM),386098710815,,Hexa Core,Apple iPhone 11,Apple,6.1 in,"Bluetooth, 4G, Wi-Fi, Lightning, NFC",iOS,12.0 MP,64 GB,280.00
8258,Motorola Moto E (2020) 32GB XT2052-6 T-MOBILE Locked Smartphone - Good,265512318892,2 GB,,Motorola Moto E (2020),Motorola,6.2 in,,Android,13.0 MP,32 GB,84.99
8259,Apple iPhone 7 Plus 32GB 64GB 128GB GSM Unlocked Verizon T-Mobile Grade C,284425724595,3 GB,Dual Core,Apple iPhone 7 Plus,Apple,5.5 in,"2G, 3G, 4G, Bluetooth, GPRS, GPS, Wi-Fi",iOS,12.0MP,,109.99
8260,Samsung Galaxy Z Fold4 SM-F936U - 512GB - Graygreen (T-Mobile),134466682203,12 GB,Octa Core,Samsung Galaxy Z Fold4,Samsung,"7.6 in, 6.2 in","5G, Bluetooth, Wi-Fi",Android,"12.0 MP, 50.0 MP, 10.0 MP",512 GB,900.00
8261,New Samsung Galaxy S10 Factory Unlocked AT&T Verizon T-Mobile Sprint Unopen Box,355139574972,8 GB,Octa Core,Samsung Galaxy S10,Samsung,6.1 in,"3G, 4G, Bluetooth, GPRS, GPS, LTE, NFC, USB Type-C, Wi-Fi",Android,16.0 MP,,270.59
8262,Samsung Galaxy S8 SM-G950U - 64GB - Purple - (T-Mobile) - C Stock,192867805658,,,Samsung Galaxy S8,Samsung,,,Android,,64GB,220.00
8263,Samsung Galaxy A10e SM-A102U - 32GB - Black (Boost Mobile) Smartphone - AS IS,234582332819,2 GB,Octa Core,Samsung Galaxy A10e,Samsung,5.8 in,"4G, Micro USB",Android,8.0 MP,32 GB,39.99
8264,Samsung Galaxy A32 5G (SM-A326U) 64GB (T-Mobile) Smartphone - Clean IMEI - K0823,134492501673,4 GB,Octa Core,Samsung Galaxy A32 5G,Samsung,6.5 in,"USB Type-C, 5G, Bluetooth, Wi-Fi, GPS",Android,,64 GB,109.99
8265,Samsung Galaxy S10e SM-G970U 128GB GSM Unlocked T-Mobile AT&T Verizon Open Box A,255099642648,6 GB,Octa Core,Samsung Galaxy S10e,Samsung,5.8 in,"2G, 3G, 4G, Bluetooth, GPS, USB Type-C, Wi-Fi",Android,16.0MP,128 GB,139.55
8266,Free Shiping LG K40 - 32GB - Black (T-Mobile) With Complete Items,276182639254,2 GB,Octa Core,LG K40,LG,5.7 in,"Bluetooth, 4G, Wi-Fi",Android,13.0 MP,32 GB,87.99
8268,LG GB102 (Unlocked) Mobile Phone Immaculate Condition With Charger Free Shipping,266400328450,1 GB,Single Core,LG GB102,Alcatel,1.4 in,"2G, Bluetooth, Dual-Band, Headphone Jack, Micro USB, Tri-Band",Symbian,None,128 MB,31.52
8270,Samsung SGH-T139 - Blue and Black ( T-Mobile ) Cellular Flip Phone,325686350846,1 GB,Single Core,SGH-T139,T-Mobile,3 in,Bluetooth,,0.3 MP,10 MB,27.19
8271,Kyocera Hydro C5170 - Blue ( Boost Mobile ) Android Smartphone - READ #30,266106117489,,,Hydro,Kyocera,,,Android,,NA,25.00
8272,LG K22 (LM-K200) 32GB GSM Boost Gray Smartphone ,126004545383,2 GB,Quad Core,LG K32,LG,6.2 in,"4G, Bluetooth, LTE",Android,13.0 MP,32 GB,49.99
8273,LG 102 - Black and Silver ( Boost Mobile ) Rare Cellular Phone - No Back,324755603888,,,102,LG,,,,,NA,10.19
8275,Original Unlocked Smartphone Nokia Lumia 1320 Windows 3G Wifi G ROM Cellphone,354897733550,1GB,,Nokia Lumia 1320,Nokia,"6.0""",,Windows Mobile,5.0MP,8GB,67.26
8276,Nokia 7360 mobile for sale with faulty microphone and t-mobil hu sim card.  Defe,386255202067,,,other,Nokia,,,,,none,25.00
8277,Apple iPhone 13 Pro - 256GB - Gold (T-Mobile),165586228875,,Hexa Core,Apple iPhone 13 Pro,Apple,6.1 in,"5G, Bluetooth, Wi-Fi, Lightning, NFC",iOS,12.0 MP,256 GB,760.00
8278,"LG D280n mobile, system not loading, display broken.",386252690655,,,other,LG,,,,,none,15.00
8279,Nokia 2330  2330c (T-Mobile) Cellular Phone almost brand new ,403748458781,,,2330,Nokia,,2G,Symbian,,32 MB,23.99
8280,Nokia 1680 T-Mobile Cell Phone with Original Box *Tested & Working* w/Accesories,204544988350,,,Nokia 1680,Nokia,,,,,128 MB,21.49
8282,Samsung Gt s5220 MOBILE PHONE FOR  REPAIRS PARTS,155238485147,,,s5220,Samsung,,,,,1 MB,12.00
8283,P11 Pro smartphones Mobile Phone 2G Ram dual-SIM Phone android,264773340516,,Dual Core,P11 Pro,P11 pro Keecoo,Below 6 inch,2G,Android,,2 GB,30.99
8284,Apple iPhone X | iPhone XR 64GB 256GB Unlocked Verizon IOS LTE WIFI,115866154477,2 GB,,iPhone XR,Apple,,"LTE, 2G, 3G, 4G, 5G, WI-FI, NFC, GPS, Bluetooth",iOS,12.0 MP,,139.00 to 282.00
8285,Baterry of Mobile; SmartPhone,134631111822,,,NA,N/A,,,,,NA,31.18
8287,Kyocera C6740 Hydro Wave T-Mobile Smartphone  Good,404474949390,8 GB,Quad+Quad Core,Kyocera Hydro Wave,Kyocera,,"2G, 3G, 4G, Bluetooth, Dual-Band, GPS, LTE, Micro USB, NFC, Tri-Band, Wi-Fi",Android,5.0 MP,8 GB,28.99
8290,Nternational Version Oppo A53 64GB 4G LTE Mobile Phone Snapdragon 460 Android ,185474298635,4 GB,Octa Core,Oppo A53,OPPO,"6.5""","3G, 4G, Bluetooth, GPS, LTE",Android,13.0 MP,64 GB,185.07
8291,"LG KF700 3MP AF A2DP 3"" Touchscreen MP3 FM Radio GSM 3G Slider Cell Phone Mobile",115904393250,,,KF700,LG,3 in,"2G, 3G",,3.0 MP,90 MB,199.99
8293,Apple iPhone 12 (PRODUCT)RED - 64GB (T-Mobile),155063779117,,Hexa Core,Apple iPhone 12,Apple,6.1 in,"5G, Bluetooth, Wi-Fi, Lightning, NFC",iOS,12.0 MP,64 GB,385.00
8294,New Verizon Orbic Speed Mobile Hotspot 4G LTE Up to 12 hrs of Usage time,224530731319,512 MB,Qualcomm MDM9207,ORB400LBVZRT,Orbic,,LTE,Linux 3.18,,10 GB,59.64
8296,OnePlus Nord N200 5G - 64GB - Blue Quantum (T-Mobile) (Single SIM),225471944003,4 GB,Octa Core,OnePlus Nord,OnePlus,6.49 in,"USB Type-C, 5G, Bluetooth, 4G, 3G, Wi-Fi, NFC, GPS, LTE",Android,13.0 MP,64 GB,99.99
8299,"Huawei U8510-1 mobile, 1. no sim detection, 2. broken display",386250080165,,,other,Huawei,,,,,none,15.00
8300,Apple iPhone X - 64GB - Silver (T-Mobile) A1901 (GSM),125406186591,3 GB,Hexa Core,Apple iPhone X,Apple,5.8 in,"Bluetooth, Wi-Fi, NFC",iOS,12.0 MP,64 GB,257.00
8302,Apple iPhone XR - 64GB - Coral - T-Mobile - A1984 - CDMA + GSM - Good,354168328114,3GB,Hexa Core,Apple iPhone XR,Apple,6.1 in,"Bluetooth, 4G, Wi-Fi, Lightning, NFC",iOS,12.0 MP,64 GB,279.98
8303,"T-MOBILE REVVL 4 - 5007W - 6.2"" 32GB 13MP T-Mobile Smartphone ( B Grade)",284942725694,2 GB,Quad Core,T-Mobile Revvl 4,T-Mobile,6.2 in,"2G, 3G, 4G, Bluetooth, GPS",Android,13.0 MP,32 GB,57.99
8304,"Nokia 208.1 mobile for sale Good, uses vodafone hu sim card.",386254488451,,,other,Nokia,,,,,none,35.00
8305,New Verizon Orbic Speed Mobile Wifi Hotspot 4G LTE Great for Travel & Truckers,115020654070,512 MB,Qualcomm MDM9207,ORB400LBVZRT,Orbic,,LTE,Linux 3.18,,10 GB,59.99
8307,VINTAGE BLACKBERRY 7730 MOBILE SMARTPHONE W/ BOX NICE GIFT TESTED USED 8 hour!!!,174488606875,2 GB,Single Core,BLACKBERRY 7730,BlackBerry,3 in,2G,BlackBerry OS,Not Applicable,16 MB,144.00
8310,Samsung Galaxy S8 G950U 64GB AT&T Verizon T-Mobile Sprint GSM Unlocked Open Box,255199817557,4GB,Octa Core,Samsung Galaxy S8,Samsung,5.8 in,"2G, 3G, 4G, Bluetooth, GPS, USB Type-C, Wi-Fi",Android,12.0MP,64 GB,132.99
8311,Samsung X200 Cell Phone Black Flip Classic Mobile Phone,334594113425,,,x200,Samsung,,,Android,,9 MB,10.00
8312,Kyocera Luno S2100 - Black and Gray ( Virgin Mobile ) Rare Cellular Flip Phone,325440194485,,,Luno,Kyocera,1.8 in,,,,70 MB,11.89
8314,"Microsoft Lumia 640 XL 4G LTE Single Dual SIM Windows Quad-core 8GB ROM 5.7""",175801965777,1GB,Quad Core,Nokia Microsoft Lumia 640 XL,Nokia Microsoft,"5.7""",,Windows Mobile,5.0MP,8GB,71.49 to 75.29
8315,DMR UHF 4G Android Phone Rugged Digital Mobile Radio PTT Walkie Talkie P4 Unlock,404200502427,4 GB,Octa Core,P4,Unbranded,4.0 in,"2G, 3G, 4G, GPS, LTE, NFC, Wi-Fi",Android 9.0,"Front camera: 5MP, rear camera: 13MP",Sopport 128GB SD CARD(Not included),475.22
8316,LG K51 32GB Black LM-K500 (T-Mobile) Reduced Price zW2151,404469650756,3 GB,Octa Core,LG K51,LG,6.5 in,"4G, Bluetooth, USB Type-C, Wi-Fi",Android,5.0MP 13.0MP 2.0MP,32 GB,55.00
8317,Samsung Galaxy Z Fold4 SM-F936U 512GB Phantom Black T-Mobile ULK  (z04736),256250255658,,,Galaxy Z Fold4,Samsung,,,Android13,,512GB,642.22
8318,"Kyocera Hydro ICON - C6730 (Boost Mobile) Phone, Clean ESN, Broken- read",193130270586,,,c6730,Kyocera,,,Android,,8 MB,11.00
8319,T-Mobile REVVLRY - XT1952-T - 32GB - Black (T-Mobile) Android Smartphone - AS IS,234630932776,3 GB,Octa Core,T-Mobile Revvlry,T-Mobile,5.7 in,"4G, Bluetooth, GPS, LTE, Wi-Fi, USB Type-C",Android,13.0 MP,32 GB,38.99
8320,Apple iPhone 8 Plus 64GB Fully Unlocked AT&T Verizon Cricket Smartphone Good,115580978510,2 GB,,iPhone 8 PLUS,Apple,,"LTE, 2G, 3G, 4G, 5G, WI-FI, NFC, GPS, Bluetooth",iOS,12.0 MP,,140.00 to 181.00
8322,Samsung Galaxy A8 2018 A530 32GB GSM UNLOCKED Smartphone AT&T T-Mobile Excellent,125143227090,4GB,Octa Core,Galaxy A8,Samsung,"5.6""","2G, 3G, 4G, Bluetooth, GPS, Micro USB",Android,16.0MP,32GB,70.29
8324,"Apple iPhone 8 (Factory Unlocked) Verizon, AT&T, T-Mobile, ANY GSM",233963165182,3 GB,,Apple iPhone 8,Apple,5.5 in,"3G, 4G, 4G+, Bluetooth",iOS,8.0 MP,64 GB,199.00
8325,Sealed Box Apple iPhone 6S 64GB Unlocked Gold Smartphone A1688(GSM+CDMA),235259613112,2 GB,Dual Core,Apple iPhone 6S,Apple,4.7 in,"3G, 4G, Bluetooth, GPRS, GPS, Lightning, LTE, Micro USB, Wi-Fi",iOS,12.0 MP,64 GB,179.88
8326,15.Alcatel Sparq Very Rare - For Collectors - Locked T Mobile Network,164546440297,,,Sparq,Alcatel,2.5 in,Micro USB,,2.0 MP,512 MB,19.99
8327,"Nokia 2112 Vintage Mobile Phone Working Order With Chargers, Manual - Collectors",394925439803,.,.,Nokia 2112,Nokia,1.17 in,2G,CDSM,.,9 KB,49.40
8328,"Xiaomi Redmi 9C 64GB Sunrise Orange New Dual SIM 6,53 "" Smartphone Mobile Boxed",165221020858,3GB,Octa Core,Xiaomi Redmi 9C,Xiaomi,6.5 inches,"Micro USB, 4G, Wi-Fi, Bluetooth",MIUI,"5.0 megapixels, 13.0 megapixels, 2.0 megapixels",64GB,227.95
8329,Samsung Galaxy A20 A205U 32GB GSM Unlocked Smartphone AT&T T-Mobile Very Good A+,374223503339,3 GB,Octa Core,Samsung Galaxy A20,Samsung,6.4 in,"2G, 3G, 4G, Bluetooth, GPS, Micro USB, Wi-Fi",Android,5.0 MP,32 GB,90.16
8330,Apple iPhone 13 - 128GB - Pink (T-Mobile) 100% Battery Health,364384564385,,Hexa Core,Apple iPhone 13,Apple,6.1 in,"5G, Bluetooth, Wi-Fi, Lightning, NFC",iOS,12.0 MP,128 GB,510.00
8334,Apple iPhone 11 - 256GB - Black - T-Mobile - A2111 - CDMA + GSM -  Good,255573370053,4 GB,Hexa Core,Apple iPhone 11,Apple,6.1 in,"Bluetooth, 4G, Wi-Fi, Lightning, NFC",iOS,12.0 MP,256 GB,449.99
8335,"Apple iPhone 6s - 128GB, Rose Gold (T-Mobile) Cell Smartphone Working Condition",294641190301,2GB,Dual Core,Apple iPhone 6s,Apple,4.7 in,"Bluetooth, Wi-Fi, NFC",iOS,12.0 MP,128 GB,129.00
8336,Galaxy S20+ 5G SM-G986U T-Mobile Unlocked 128GB Black Very Good Medium Burn,186099399461,,,Galaxy S20+ 5G,Samsung,,,,,128GB,219.99
8339,Apple iPhone 6s T-mobile - 32GB - Space Gray A1688 (CDMA + GSM) #2924,363519011723,2 GB,Dual Core,Apple iPhone 6s,Apple,5.5 in,"Bluetooth, NFC, Wi-Fi",iOS,,32 GB,99.00
8340,Samsung Galaxy S7 Edge G935 32GB GSM Unlocked 4G Smartphone AT&T T-Mobile Good B,255112187696,4 GB,Quad Core,Samsung Galaxy S7 Edge G935,Samsung,5.5 in,"2G, 3G, 4G, Bluetooth, GPS, Micro USB, NFC, WAP, Wi-Fi",Android,12.0 MP,32 GB,94.90
8342,Kyocera Jax Virgin Mobile Prepaid Phone Brand New-Ultra Thin -Limited Edition,264956428815,,,Kyoca Jax,Kyocera,,,,,Not Sure,57.77
8343,Samsung Galaxy S20 FE 5G SM-G781U - 128GB - Cloud Navy (T-Mobile),394112058581,6 GB,Octa Core,Samsung Galaxy S20 FE 5G,Samsung,6.5 in,"USB Type-C, 5G, Bluetooth, Wi-Fi, NFC",Android,"12.0 MP, 8.0 MP",128 GB,280.00
8344,SAMSUNG GALAXY A10e 32GB BOOST MOBILE SM-A102U - BLACK -CRACKED SCREEN/LCD,166352541003,,N/A,N/A,Samsung,N/A,N/A,,,N/A,43.63
8346,Samsung Montage SPH-M390 - Silver ( Virgin Mobile / Paylo ) Rare Slider Phone,324772510290,,,Montage,Samsung,2.4 in,,,2.0 MP,40 MB,28.89
8347,LG X Power (LGLS755) 16GB - Black (Boost) Smartphone Android 6.0,185295649944,,Octa Core,LG X Power,LG,,"Bluetooth, Wi-Fi",Android,,16 GB,36.51
8349,Samsung Galaxy S21 5G SM-G991U - 128GB - Phantom Gray (T-Mobile) Unlocked,185322153535,,,Samsung Galaxy S21 5G,Samsung,,,Android,,128 GB,495.00
8350,Samsung S5300  MOBILE PHONE WORKING TESTED UNLOCKED,154552867073,290 mb,,Samsung S5300,Samsung,,,Android,,3 GB,14.00
8351,"Sony Ericsson K510i Mobile Phone, Black, with Accessories, Excellent Condition",314969115570,,,Sony Ericsson K510i,Sony Ericsson,,,,,1 KB,25.00
8352,Original Samsung Xcover 550 SM-B550H Mp3 Unlocked 3G HSDPA Outdoor Mobile Phone,155526768468,128 MB,Dual Core,Samsung B550H,Samsung,"2.4""","2G, 3G",Android,3.15MP,256 MB,59.80
8353,6.26 Inch Mobile Phone With Facial Recognition ETZ,305267832602,,,As the description,Unbranded,,,,,As the description,83.49
8354,Samsung Galaxy A13 5G SM-A136U - 64GB - Black (T-Mobile),334703509925,4 GB,Octa Core,Samsung Galaxy A13 5G,Samsung,6.5 in,"5G, Bluetooth, Wi-Fi, NFC",Android,"50.0 MP, 2.0 MP",64 GB,249.00
8355,Samsung Galaxy S10e SM-G970U 128GB GSM Unlocked Verizon T-Mobile AT&T Excellent ,255184542029,8 GB,Octa Core,Samsung Galaxy S10e G970U 128GB,Samsung,5.8 in,"2G, 3G, 4G, Bluetooth, GPS, Micro USB, NFC, WAP, Wi-Fi",Android,16.0 MP,128 GB,129.10
8358,GOOD Motorola Moto G7 Power XT1955-5 32GB Marine Blue T-Mobile ANDROID 4G LTE,304790819925,3 GB,Octa Core,Motorola Moto G7 Power,Motorola,6.2 in,"USB Type-C, 4G",Android,12.0 MP,32 GB,74.99
8359,Samsung Galaxy Note 10+ SM-N975U T-Mobile Locked 256GB White C,195993686959,12 GB RAM,,Galaxy Note 10+,Samsung,,,,,256GB,249.99
8360,Functions Special Cell Phone 4-Band GSM Double Card Standby Mobile V8,394618550050,1 GB,Single Core,V8,Unbranded,1.77 in,Quad-Band,,0.3 MP,1.3 MB,53.99
8362,Samsung Galaxy Z Flip4 - SM-F721U - 256GB - Bora Purple T-Mobile - LKD  (z04322),266438503255,,,Galaxy Z Flip4,Samsung,,,Android13,,256GB,340.09
8363,"Nokia 113 mobile for sale No response, display broken",386254426489,,,other,Nokia,,,,,none,15.00
8364,Apple iPhone 11 - 64GB - White (T-Mobile) A2111 (CDMA + GSM),196029735386,4 GB,Hexa Core,Apple iPhone 11,Apple,6.1 in,"Bluetooth, 4G, Wi-Fi, Lightning, NFC",iOS,12.0 MP,64 GB,400.00
8365,Apple iPhone 13 - 256GB - BLUE (T-Mobile),165592610069,,Hexa Core,Apple iPhone 13,Apple,6.1 in,"5G, Bluetooth, Wi-Fi, Lightning, NFC",iOS,12.0 MP,256 GB,620.00
8366,Honor X30 (5G) 12G/256GB Android Mobile Phone (Preowned),155700885553,12 GB,,X30,Honor,,5G,Android,,256 GB,343.52
8367,Samsung Galaxy A8 A8000 4G Mobile phone 5.7'' 16MP Octa Core Cellphone NFC,266311910621,2GB,Octa Core,Samsung Galaxy A8 A8000,Samsung,"5.7""",,Android,16MP,16GB OR 32GB,82.42 to 88.06
8368,Apple iPhone 13 - 128GB - Pink- Xfinity Mobile,385341825621,,Hexa Core,Apple iPhone 13,Apple,6.1 in,"5G, Bluetooth, Wi-Fi, Lightning, NFC",iOS,12.0 MP,128 GB,600.00
8370,LG Aristo 3 (Metro By T-Mobile) UNLOCKED CRACKED GOOD LCD *USED* READ,265093377353,,Quad Core,LG Aristo 3,LG,5.0,4G,,13.0MP,unknown,25.99
